date_id,date,day,month,year,quarter,weekday
398,2014-11-09,20141109,201411,2014,2014Q4,Sunday
399,2014-11-10,20141110,201411,2014,2014Q4,Monday
400,2014-11-11,20141111,201411,2014,2014Q4,Tuesday
401,2014-11-12,20141112,201411,2014,2014Q4,Wednesday
402,2014-11-13,20141113,201411,2014,2014Q4,Thursday
403,2014-11-14,20141114,201411,2014,2014Q4,Friday
404,2014-11-15,20141115,201411,2014,2014Q4,Saturday
405,2014-11-16,20141116,201411,2014,2014Q4,Sunday
406,2014-11-17,20141117,201411,2014,2014Q4,Monday
407,2014-11-18,20141118,201411,2014,2014Q4,Tuesday
408,2014-11-19,20141119,201411,2014,2014Q4,Wednesday
409,2014-11-20,20141120,201411,2014,2014Q4,Thursday
410,2014-11-21,20141121,201411,2014,2014Q4,Friday
411,2014-11-22,20141122,201411,2014,2014Q4,Saturday
412,2014-11-23,20141123,201411,2014,2014Q4,Sunday
413,2014-11-24,20141124,201411,2014,2014Q4,Monday
414,2014-11-25,20141125,201411,2014,2014Q4,Tuesday
415,2014-11-26,20141126,201411,2014,2014Q4,Wednesday
416,2014-11-27,20141127,201411,2014,2014Q4,Thursday
417,2014-11-28,20141128,201411,2014,2014Q4,Friday
418,2014-11-29,20141129,201411,2014,2014Q4,Saturday
419,2014-11-30,20141130,201411,2014,2014Q4,Sunday
420,2014-12-01,20141201,201412,2014,2014Q4,Monday
421,2014-12-02,20141202,201412,2014,2014Q4,Tuesday
422,2014-12-03,20141203,201412,2014,2014Q4,Wednesday
423,2014-12-04,20141204,201412,2014,2014Q4,Thursday
424,2014-12-05,20141205,201412,2014,2014Q4,Friday
425,2014-12-06,20141206,201412,2014,2014Q4,Saturday
426,2014-12-07,20141207,201412,2014,2014Q4,Sunday
427,2014-12-08,20141208,201412,2014,2014Q4,Monday
428,2014-12-09,20141209,201412,2014,2014Q4,Tuesday
429,2014-12-10,20141210,201412,2014,2014Q4,Wednesday
430,2014-12-11,20141211,201412,2014,2014Q4,Thursday
431,2014-12-12,20141212,201412,2014,2014Q4,Friday
432,2014-12-13,20141213,201412,2014,2014Q4,Saturday
433,2014-12-14,20141214,201412,2014,2014Q4,Sunday
434,2014-12-15,20141215,201412,2014,2014Q4,Monday
435,2014-12-16,20141216,201412,2014,2014Q4,Tuesday
436,2014-12-17,20141217,201412,2014,2014Q4,Wednesday
437,2014-12-18,20141218,201412,2014,2014Q4,Thursday
438,2014-12-19,20141219,201412,2014,2014Q4,Friday
439,2014-12-20,20141220,201412,2014,2014Q4,Saturday
440,2014-12-21,20141221,201412,2014,2014Q4,Sunday
441,2014-12-22,20141222,201412,2014,2014Q4,Monday
442,2014-12-23,20141223,201412,2014,2014Q4,Tuesday
443,2014-12-24,20141224,201412,2014,2014Q4,Wednesday
444,2014-12-25,20141225,201412,2014,2014Q4,Thursday
445,2014-12-26,20141226,201412,2014,2014Q4,Friday
446,2014-12-27,20141227,201412,2014,2014Q4,Saturday
447,2014-12-28,20141228,201412,2014,2014Q4,Sunday
448,2014-12-29,20141229,201412,2014,2014Q4,Monday
449,2014-12-30,20141230,201412,2014,2014Q4,Tuesday
450,2014-12-31,20141231,201412,2014,2014Q4,Wednesday
451,2015-01-01,20150101,201501,2015,2015Q1,Thursday
452,2015-01-02,20150102,201501,2015,2015Q1,Friday
453,2015-01-03,20150103,201501,2015,2015Q1,Saturday
454,2015-01-04,20150104,201501,2015,2015Q1,Sunday
455,2015-01-05,20150105,201501,2015,2015Q1,Monday
456,2015-01-06,20150106,201501,2015,2015Q1,Tuesday
457,2015-01-07,20150107,201501,2015,2015Q1,Wednesday
458,2015-01-08,20150108,201501,2015,2015Q1,Thursday
459,2015-01-09,20150109,201501,2015,2015Q1,Friday
460,2015-01-10,20150110,201501,2015,2015Q1,Saturday
461,2015-01-11,20150111,201501,2015,2015Q1,Sunday
462,2015-01-12,20150112,201501,2015,2015Q1,Monday
